MAD,MAPE,RMSE,State,Test Type
4140.040897675632,24.38189928593238,5072.334488002331,RO,yhat casosAcumulado
4260.327576402432,24.77341170697534,5267.490412414673,RO,yhat_lower casosAcumulado
4080.4857272552863,24.41326401257744,4921.279213634005,RO,yhat_upper casosAcumulado
95.94419500335171,22.128787518976473,111.96879413217252,RO,yhat obitosAcumulado
98.20526796584309,22.403874918684032,115.88984130514704,RO,yhat_lower obitosAcumulado
93.65987563675603,21.842670510208265,108.73249189581537,RO,yhat_upper obitosAcumulado
2103.0286600560435,19.024881590380392,2455.539285438269,AC,yhat casosAcumulado
2035.4777627380604,18.281340791660917,2370.2859593806,AC,yhat_lower casosAcumulado
2178.8024043369505,19.849447276643257,2565.077633754645,AC,yhat_upper casosAcumulado
62.49547107212672,20.940063420321476,71.66149717924014,AC,yhat obitosAcumulado
59.80298006075087,19.90551858373691,68.23373187744524,AC,yhat_lower obitosAcumulado
64.99437119832078,21.907169155677092,75.14480648997294,AC,yhat_upper obitosAcumulado
10059.267910190574,16.43398801818953,11977.666648264172,AM,yhat casosAcumulado
9555.460928148677,15.542951175769351,11244.16204214189,AM,yhat_lower casosAcumulado
10510.201806286264,17.23691331136732,12690.544115359771,AM,yhat_upper casosAcumulado
232.2636239335577,8.890649728020742,278.5868814175138,AM,yhat obitosAcumulado
198.0637136179405,7.543114615577529,233.93548646558637,AM,yhat_lower obitosAcumulado
265.2365536604607,10.186854437514903,324.21453407563786,AM,yhat_upper obitosAcumulado
3133.100830200692,29.77170172220876,3897.0916529005312,RR,yhat casosAcumulado
3099.8608860557706,28.82819100612306,3953.3868932192595,RR,yhat_lower casosAcumulado
3189.773552200186,31.009936312956178,3854.577548936722,RR,yhat_upper casosAcumulado
49.37157033765361,19.662073891052,57.76766512523593,RR,yhat obitosAcumulado
50.8242458852891,20.021573706882624,60.01105530302784,RR,yhat_lower obitosAcumulado
48.36558530827311,19.49269533680454,56.01509361294042,RR,yhat_upper obitosAcumulado
17930.333206815616,21.596394583839462,20742.954771257348,PA,yhat casosAcumulado
17414.302539619508,20.78655512590497,20168.965390488203,PA,yhat_lower casosAcumulado
18475.150174398834,22.4456249486521,21429.71508295109,PA,yhat_upper casosAcumulado
